trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps,Qm,Qm_pval,I2,I_resid
domain,count,0.99,55,-0.00162531370991597,0.0100668136240786,-0.0213559058521871,0.0181052784323552,0.871736903932943,4,4.72364433556922,0.0297506266199761,0.418707017216252,0
domain,frac,0.9,55,-0.000137357014170846,9.6782535951305e-05,-0.000327047298967857,5.23332706261648e-05,0.155830961561493,4,0.242440820148581,0.622448757290402,0,0
domain,frac,0.925,55,-0.000151762345009923,0.000103692458186653,-0.000354995828524188,5.14711385043417e-05,0.143308379092049,4,0.10162901143241,0.749883445610925,0,0
domain,frac,0.95,55,-0.00016211505608492,0.000115299797486481,-0.000388098506583185,6.38683944133443e-05,0.159715005894188,4,0.0243793573119484,0.875923533527605,0,0
domain,frac,0.975,55,-0.000157110941632106,0.000124856152874923,-0.000401824504515182,8.76026212509704e-05,0.208270412702041,4,0.0117180455311827,0.913797445850869,0,0
domain,frac,0.99,55,-0.000117442706661973,0.000144637542798169,-0.000400927081358755,0.000166041668034809,0.416803446276693,4,0.190615306948628,0.662404995602299,0,0
domain,sum,0.9,55,-0.00479750089931956,0.00687675354946136,-0.0182756901868218,0.00868068838818269,0.485402127464789,4,4.59736210630054,0.0320211895810324,0.513428856797861,0
domain,sum,0.925,55,-0.00476712258313123,0.00706112430133562,-0.0186066719041096,0.00907242673784714,0.49959805738025,4,4.84575097314396,0.0277143223262617,0.52159289296489,0
domain,sum,0.95,55,-0.00431827589333941,0.0072882748787299,-0.0186030321650781,0.00996648037839923,0.553518298183835,4,4.59206410395818,0.0321203101848032,0.494686007514484,0
domain,sum,0.975,55,-0.00458002071375991,0.00773658511864154,-0.0197434489096259,0.0105834074821061,0.553853849458471,4,4.26006149995424,0.0390185088108187,0.451949378748941,0
domain,sum,0.99,55,-0.00461540595609756,0.00838878563385342,-0.0210571236724773,0.0118263117602822,0.582190697764821,4,4.07516233020279,0.0435180844045411,0.450583169634944,0
domain,count,0.9,60,-0.00444660706930172,0.00798101331644595,-0.0200891057296704,0.0111958915910669,0.57742618936827,4,3.00508521966892,0.0830036121546497,0.716666041838331,45.1984188093026
domain,count,0.925,60,-0.00315214900988827,0.00817126153396948,-0.019167527324726,0.0128632293049494,0.699674135488292,4,3.74717205018757,0.0528969351856683,0.71426831432663,37.3870437151707
domain,count,0.95,60,-0.00219047426486437,0.00834588389208304,-0.0185481061125001,0.0141671575827714,0.792965565855793,4,4.77248491571219,0.0289180576729861,0.673921227826675,20.636885698829
domain,count,0.975,60,-0.00260574706861499,0.00884635575864582,-0.0199442857499893,0.0147327916127593,0.7683330869232,4,5.48565561859232,0.019173128165608,0.56752995055754,0
domain,count,0.99,60,-0.00307771109402221,0.00964435504703463,-0.0219802996403272,0.0158248774522828,0.749635163425256,4,4.5334548397794,0.0332384510169739,0.500735440431312,0
domain,frac,0.9,60,-0.000158122666467712,0.000111383055236412,-0.000376429443219115,6.01841102836904e-05,0.15571558433833,4,0.00735932340460352,0.931636139176053,0,0
domain,frac,0.925,60,-0.00017257966599563,0.000117500682881279,-0.0004028767726018,5.77174406105393e-05,0.14189936789415,4,0.000904198661532435,0.976011309168118,0,0
domain,frac,0.95,60,-0.000191013033524685,0.000129713238185006,-0.000445246308685362,6.32202416359926e-05,0.140864501407314,4,0.0963576478917302,0.756245173644078,0,0
domain,frac,0.975,60,-0.000203042466306263,0.000140859777239293,-0.000479122556565611,7.30376239530857e-05,0.149457311882136,4,0.253306443394945,0.614756471783305,0,0
domain,frac,0.99,60,-0.000195857824702291,0.000159531752766374,-0.000508534314514932,0.000116818665110351,0.219557977912939,4,0.714458577817123,0.397967633817415,0,0
domain,sum,0.9,60,-0.00500001182377004,0.00687541926315143,-0.0184755859581598,0.00847556231061969,0.467085011368662,4,4.43874080847606,0.035132150136044,0.499078753504003,0
domain,sum,0.925,60,-0.00499720734428102,0.00706178437853691,-0.0188380503928009,0.0088436357042389,0.479168296697454,4,4.60233955739134,0.0319283569941387,0.504589621889982,0
domain,sum,0.95,60,-0.00446592735171646,0.00729197533162909,-0.018757936377864,0.00982608167443108,0.54024396440897,4,4.33070399454397,0.0374307614317597,0.473335761778494,0
domain,sum,0.975,60,-0.00464413834116511,0.00774525956059445,-0.0198245681308447,0.0105362914485145,0.548765900861533,4,3.98586565663061,0.0458835180591987,0.426462703418318,0
domain,sum,0.99,60,-0.00472902923919056,0.0084033554724344,-0.0211993033144496,0.0117412448360684,0.573601813309898,4,3.89434893124796,0.048448814324325,0.436045101543123,0
domain,count,0.9,65,-0.00235314855511097,0.00770643990982451,-0.0174574932273891,0.0127511961171672,0.760100870503585,4,4.55584989484606,0.0328064778797103,0.688331620571601,24.7840043725874
domain,count,0.925,65,-0.00225950835514162,0.00779978729718819,-0.0175468105447035,0.0130277938344202,0.772054587045513,4,4.81424363471554,0.0282254562186227,0.700199763536748,24.8929913819214
domain,count,0.95,65,-0.00217965328770741,0.0080194834484066,-0.0178975520211994,0.0135382454457846,0.785779862469775,4,5.21983503825586,0.0223306692836873,0.68672504286655,19.4986690404544
domain,count,0.975,65,-0.00361500772917934,0.00845826333364794,-0.020192899234885,0.0129628837765263,0.669092658397726,4,5.78655014228755,0.0161492504867687,0.612510970090952,2.49927365378624
domain,count,0.99,65,-0.00444579767740615,0.00919524684542435,-0.0224681503233934,0.0135765549685811,0.628748801829435,4,4.61012539117601,0.0317837091295888,0.523930536090834,0
domain,frac,0.9,65,-0.000158403405256004,0.000128637462735724,-0.000410528199280637,9.37213887686291e-05,0.218175524054711,4,0.416317150126897,0.518780458787552,0,0
domain,frac,0.925,65,-0.000186834099045344,0.000134250561440222,-0.000449960364372461,7.62921662817727e-05,0.164018694631172,4,0.272542411643845,0.601631377645945,0,15.3207807622117
domain,frac,0.95,65,-0.000217686114976784,0.000146149879336328,-0.000504134614820862,6.87623848672939e-05,0.136363189809493,4,0.301413870316982,0.582997405817304,0.00391150675859146,27.5516256348978
domain,frac,0.975,65,-0.000225518723289466,0.000159864178053483,-0.000538846754692391,8.78093081134588e-05,0.15833617750387,4,0.541462992241996,0.461827046708811,0.131683930190643,29.7248411114388
domain,frac,0.99,65,-0.000237002054867069,0.000176610250764121,-0.000583151785665333,0.000109147675931196,0.179612338794143,4,0.856078732999625,0.354838361909505,0.284483283996087,32.785057379107
domain,sum,0.9,65,-0.00515970171411874,0.00689170332850604,-0.0186671920301254,0.0083477886018879,0.454048240688001,4,4.29252090946249,0.0382803666940967,0.484991620509937,0
domain,sum,0.925,65,-0.00530362621784806,0.00706644728686258,-0.0191536083987495,0.00854635596305338,0.452931683064052,4,4.37837128369965,0.0363977615112289,0.489793279886716,0
domain,sum,0.95,65,-0.00470291239720122,0.00730521125436117,-0.0190208633552058,0.00961503856080333,0.519721345475625,4,4.12359367404405,0.0422891557740476,0.456380576783642,0
domain,sum,0.975,65,-0.00472496282163335,0.00775669886358468,-0.0199278132331821,0.0104778875899154,0.542427606688128,4,3.75731643278151,0.0525768972469181,0.399983982468546,0
domain,sum,0.99,65,-0.00481237905759293,0.00842098107486077,-0.0213171986788134,0.0116924405636276,0.567677790860076,4,3.71923084887862,0.0537891433988651,0.420629158622327,0
domain,count,0.9,70,-0.00466414327965008,0.007415697619594,-0.0191986435342937,0.00987035697499357,0.529378236097861,4,5.11565881636586,0.0237108618202882,0.69205639399941,19.3447236602413
domain,count,0.925,70,-0.0051364074687121,0.00755311481494587,-0.0199402404771019,0.00966742553967771,0.496480200963949,4,4.98418141897985,0.02558008457519,0.693631579435188,21.105598712869
domain,count,0.95,70,-0.00534970655590588,0.00774082743469399,-0.0205214495384457,0.00982203642663393,0.489501018627957,4,5.17248032122739,0.0229474290336805,0.664295042939373,14.7592642880096
domain,count,0.975,70,-0.00610432444307267,0.00816982211684936,-0.0221168815521962,0.00990823266605086,0.454955154770807,4,6.06627580173043,0.01377871864536,0.597058327266343,0
domain,count,0.99,70,-0.00742072109471708,0.00889521494464037,-0.0248550220209547,0.0100135798315205,0.404147212935374,4,4.09820779060351,0.0429286961266381,0.490061619941536,1.68527425707484
domain,frac,0.9,70,-0.000229973900373322,0.000147242914572993,-0.000518564709915096,5.86169091684515e-05,0.118319242181258,4,0.304549796904376,0.58104406609809,0,0
domain,frac,0.925,70,-0.000267668281861582,0.000153718966608362,-0.000568951920154687,3.36153564315231e-05,0.0816339178721893,4,0.302584683566856,0.582266575282401,0,0.000931221602622785
domain,frac,0.95,70,-0.000288310580852007,0.00016848326328853,-0.000618531708895305,4.19105471912918e-05,0.0870419854406963,4,0.511352223511359,0.474554074072439,0,0
domain,frac,0.975,70,-0.000316414825431216,0.000180641476800392,-0.000670465614074112,3.76359632116798e-05,0.0798395504690434,4,0.764657861904423,0.381874776049454,0,0
domain,frac,0.99,70,-0.000314888301429699,0.000199380926710504,-0.000705667736986507,7.58911341271089e-05,0.114260358327788,4,1.60962529050558,0.20454448270307,0,0
domain,sum,0.9,70,-0.00520942606143621,0.00688943649935273,-0.0187124734739433,0.00829362135107084,0.44956112439848,4,3.95896044249724,0.0466224872485657,0.452575425566395,0
domain,sum,0.925,70,-0.00544292437595385,0.00706579090262671,-0.019291620067393,0.00840577131548526,0.441109732186547,4,4.02707378794616,0.0447755399992799,0.461825415783383,0
domain,sum,0.95,70,-0.00479852704656954,0.00731212541440602,-0.0191300295092453,0.00953297541610627,0.511668144130192,4,3.7896337843703,0.0515709305579124,0.426965421858888,0
domain,sum,0.975,70,-0.00470313651906781,0.007773853853238,-0.0199396100924922,0.0105333370543566,0.545182848243576,4,3.38004935561725,0.065990078892156,0.352410667228062,0
domain,sum,0.99,70,-0.00468466074091193,0.00842827105066299,-0.021203768452153,0.0118344469703291,0.578329115623552,4,3.46064304701195,0.0628458696388081,0.39460615911844,0
domain,count,0.9,75,-0.0046805152495339,0.00737775873065324,-0.0191406566482402,0.00977962614917239,0.52581405156779,4,5.79185021390956,0.016100635087461,0.621104385767402,2.98574725033854
domain,count,0.925,75,-0.00529449003744671,0.00751265760287674,-0.0200190283672661,0.00943004829237272,0.480970420015569,4,5.80851282224971,0.0159487760485669,0.626480143211148,3.67380222903343
domain,count,0.95,75,-0.00560356720892251,0.00773933952659646,-0.0207723939451788,0.00956525952733383,0.469043096539475,4,4.79619025014159,0.0285227425064657,0.621271276406723,11.7500029639934
domain,count,0.975,75,-0.00602155770814566,0.00818728825839607,-0.0220683478256496,0.0100252324093583,0.462049376909982,4,5.13003999836299,0.0235151857820805,0.575197209322616,2.3931751968227
domain,count,0.99,75,-0.00657994322911941,0.0088520731339054,-0.0239296877600886,0.0107698013018498,0.457286582677508,4,3.1251081922267,0.0770947539768854,0.48940721633025,12.8882861215726
domain,frac,0.9,75,-0.000264711360365534,0.000155831699354973,-0.000570135878750955,4.07131580198865e-05,0.0893756597335165,4,0.695489902920968,0.40430331472051,0,1.07511204813514
domain,frac,0.925,75,-0.000294114454556574,0.000162783661220946,-0.000613164567821197,2.49356587080481e-05,0.0707964051466898,4,0.774419029123512,0.378853452453662,0,0.108512593724207
domain,frac,0.95,75,-0.000320193520169445,0.000177837910948752,-0.00066874942071484,2.83623803759506e-05,0.0717849513190243,4,1.1429321753831,0.285033595646405,0,0
domain,frac,0.975,75,-0.000350969289243651,0.000190388247840223,-0.000724123398090173,2.21848196028712e-05,0.0652648115488013,4,1.51743656121848,0.218007830477209,0.0144474947848187,0
domain,frac,0.99,75,-0.000354273849348844,0.000209208362449319,-0.000764314705014112,5.57670063164238e-05,0.0903789835883055,4,2.56590029268151,0.109190380259129,0.165867098792626,0
domain,sum,0.9,75,-0.00531029571692012,0.00689521605254454,-0.0188246708455299,0.00820407941168962,0.44121564409816,4,3.59969868245685,0.057790044699135,0.41164258659982,0
domain,sum,0.925,75,-0.00542287520480073,0.00706820765417187,-0.0192763076422279,0.00843055723262646,0.442950309160884,4,3.67322922411387,0.0552929585013711,0.430353306329545,0
domain,sum,0.95,75,-0.00477157781293449,0.00731905890364829,-0.0191166696648123,0.00957351403894336,0.514440712255042,4,3.43245742580439,0.0639269129221308,0.395954104902552,0
domain,sum,0.975,75,-0.00456797317824577,0.00778679105682228,-0.019829803204756,0.0106938568482645,0.557451544773744,4,3.00195086156881,0.0831643203371701,0.302813045247966,0
domain,sum,0.99,75,-0.00424802843845533,0.00844059852109779,-0.020791297547769,0.0122952406708584,0.61476376008666,4,3.20283475002679,0.0735107511478119,0.367783712759794,0
domain,count,0.9,80,-0.00471755331918014,0.00720670458206984,-0.0188424347472568,0.00940732810889652,0.512721347492784,4,4.13100708065671,0.0421042870806796,0.514165506519928,3.489938080695
domain,count,0.925,80,-0.00549601954312368,0.00737559652907674,-0.0199519231046127,0.00895988401836535,0.456173359015643,4,4.72289515186855,0.0297635904110295,0.527756051802005,0
domain,count,0.95,80,-0.00605107745410486,0.00761412552102843,-0.0209744892490879,0.00887233434087814,0.426777953042059,4,4.6514771766429,0.0310268366817311,0.52519712990482,0
domain,count,0.975,80,-0.00675437997071674,0.00805140848877607,-0.0225348506335379,0.00902609069210441,0.401521706424229,4,4.25720582043802,0.0390841586855521,0.47077925010815,0
domain,count,0.99,80,-0.00691313630532315,0.00867214366478189,-0.0239102255570528,0.0100839529464065,0.425354748044684,4,3.47377419124983,0.0623489006491452,0.411593981504572,0
domain,frac,0.9,80,-0.000311964374368845,0.000164680284617892,-0.000634731801183719,1.08030524460292e-05,0.0581767342148021,4,0.242923976971999,0.622102195008879,0.26832340083774,38.7921337257732
domain,frac,0.925,80,-0.000324951606976144,0.000175250979424317,-0.000668437214903175,1.85340009508874e-05,0.0637095394541364,4,0.636639741972847,0.424930221057301,0.18778580495677,19.3495565486288
domain,frac,0.95,80,-0.000376020277175101,0.000187465611171888,-0.000743446123411791,-8.59443093841105e-06,0.0448765918677079,4,0.597885045219766,0.439386116800317,0.291590306489318,29.1713218727959
domain,frac,0.975,80,-0.000394026573099634,0.000200445887601624,-0.000786893293647982,-1.15985255128687e-06,0.0493274559429469,4,1.19895392854948,0.273530854540646,0.297470242970807,16.5548412458116
domain,frac,0.99,80,-0.000412340073754558,0.000219982322828948,-0.00084349750373476,1.88173562256439e-05,0.0608720530299627,4,2.06444026130206,0.150770278567693,0.43271136618619,13.4634774338591
domain,sum,0.9,80,-0.00570934262266447,0.00687769649129392,-0.019189380042198,0.0077706947968691,0.406468539253149,4,3.34322738273428,0.0674821260100011,0.380922143581663,0
domain,sum,0.925,80,-0.00561930360612493,0.00706837683332097,-0.0194730676285913,0.00823446041634145,0.426618108788088,4,3.43808796343999,0.0637093827023304,0.405821027856211,0
domain,sum,0.95,80,-0.00479114605776576,0.00732554871583307,-0.0191489577077922,0.00956666559226069,0.513090944943895,4,3.08810993079964,0.0788663659152276,0.358755893759072,0
domain,sum,0.975,80,-0.00425804877953767,0.00779601851891732,-0.0195379642994229,0.0110218667403476,0.584940503541291,4,2.63242180059711,0.104701901032329,0.261096183770074,0
domain,sum,0.99,80,-0.00404425942093116,0.00845535661246343,-0.0206164538578021,0.0125279350159398,0.632431448433079,4,2.96321287247329,0.0851785322436599,0.338736518881625,0
hashtag,count,0.9,40,-0.00200859736845995,0.00997092083465187,-0.0215512430970777,0.0175340483601578,0.840350222022215,4,10.6377568053584,0.00110801989299193,0.744136046378341,0
hashtag,count,0.925,40,0.00138371410161896,0.010162902108691,-0.0185352080098216,0.0213026362130595,0.891699980324598,4,9.70787105831781,0.00183480446104613,0.709644831174759,0
hashtag,count,0.95,40,0.0029351694891059,0.0105393914309063,-0.0177216581344405,0.0235919971126523,0.780632280907253,4,8.48759017653017,0.00357577125585143,0.666572942148102,0
hashtag,count,0.975,40,0.00272670781921775,0.0113106265753417,-0.0194417129110335,0.024895128549469,0.809497090118643,4,6.08363600160972,0.0136439666414695,0.543555733010058,0
hashtag,count,0.99,40,0.00447509030389298,0.0127225839572566,-0.0204607160426171,0.029410896650403,0.725030393035746,4,3.70810109386622,0.0541489614243905,0.267425800691105,0
hashtag,frac,0.9,40,-8.81619928686423e-05,8.27893939892359e-05,-0.000250426223389442,7.41022376521569e-05,0.286923550945809,4,0.865514152172292,0.352200181874764,0,0
hashtag,frac,0.925,40,-0.000101240404508967,8.96904527325736e-05,-0.000277030461621903,7.4549652603969e-05,0.258992461576488,4,0.593314553481206,0.441140256108099,0,0
hashtag,frac,0.95,40,-0.000104614615022956,9.60519500243872e-05,-0.000292872977715596,8.36437476696839e-05,0.276089425480135,4,0.349316572371063,0.554500257031515,0,0
hashtag,frac,0.975,40,-9.44315307628119e-05,0.000104304645484934,-0.000298864879333501,0.000110001817807877,0.365283448333054,4,0.0298690134795884,0.862787773786963,0,0
hashtag,frac,0.99,40,-8.55261157539417e-05,0.000121384608722125,-0.000323435577126793,0.00015238334561891,0.481066786090605,4,0.00383379000383648,0.950628446381333,0,0
hashtag,sum,0.9,40,-0.00770692254693884,0.00734602854404016,-0.0221048739226608,0.00669102882878307,0.294119316455424,4,8.29949279075037,0.00396561523113719,0.64882885969774,0
hashtag,sum,0.925,40,-0.00703804343797934,0.00755393932464228,-0.021843492455679,0.00776740557972035,0.351488974435776,4,8.40588692011267,0.00374007881882656,0.650645499619805,0
hashtag,sum,0.95,40,-0.00643290013224546,0.00782854125386107,-0.0217765590412992,0.00891075877680828,0.411234004000262,4,7.96825539244949,0.00476047981822873,0.631146138414422,0
hashtag,sum,0.975,40,-0.00599487624808681,0.00844225294798695,-0.0225413879745183,0.0105516354783447,0.477639744391364,4,7.13930671965117,0.00754123081079076,0.591603821026698,0
hashtag,sum,0.99,40,-0.00546560249764623,0.00936239919203325,-0.0238155677229183,0.0128843627276258,0.559366819473842,4,6.08833067603793,0.0136077593685164,0.534649267063907,0
hashtag,count,0.9,45,-0.00354542452307831,0.00973437377877472,-0.0226244465415278,0.0155335974953712,0.715695965064143,4,12.0326655692755,0.000522762641546414,0.772657806752852,0
hashtag,count,0.925,45,-0.000690985457041856,0.00996604871434021,-0.0202240820053204,0.0188421110912366,0.94472380784615,4,11.1055361883549,0.000860704014878731,0.745032554868819,0
hashtag,count,0.95,45,0.000838999291256597,0.0102347201137973,-0.0192206835236337,0.0208986821061469,0.934665963524002,4,10.1097167045257,0.00147489633610403,0.719803318249026,0
hashtag,count,0.975,45,0.000615000560291203,0.0109854002676079,-0.020915988319977,0.0221459894405594,0.95535499482824,4,7.7016632647254,0.00551699640668421,0.639054081365884,0
hashtag,count,0.99,45,0.00113015798725773,0.0123661277843218,-0.0231070070982331,0.0253673230727486,0.927181578479801,4,4.54403172327069,0.0330337004096743,0.375490470404666,0
hashtag,frac,0.9,45,-0.000105247657105068,8.56613330650657e-05,-0.000273140784780287,6.26454705701512e-05,0.219203672283412,4,1.13203083530838,0.287342572294471,0,0
hashtag,frac,0.925,45,-0.00011772208695842,9.30932223232443e-05,-0.000300181449916759,6.47372759999186e-05,0.206028630553307,4,0.771964756587301,0.379609924624464,0,0
hashtag,frac,0.95,45,-0.000121038913230142,9.94841462731993e-05,-0.000316024256958328,7.39464304980428e-05,0.223731569200563,4,0.501810950199421,0.478705485350404,0,0
