trucker,outcome,winsorize,threshold,estimate,se,low,high,pval,n_exps
hashtag,frac,0.975,45,-0.000144935698401838,0.000157037839859229,-0.000452724208735895,0.000162852811932218,0.35604114715673,3
hashtag,frac,0.99,45,-0.000117195394661271,0.0001688580403543,-0.00044815107225571,0.000213760282933168,0.487652815012209,3
hashtag,sum,0.9,45,-0.0302806583945518,0.0107492454616213,-0.0513487923603101,-0.00921252442879346,0.00484740492863418,3
hashtag,sum,0.925,45,-0.030500400730327,0.0110627365541552,-0.052182965946926,-0.00881783551372798,0.00583273200904326,3
hashtag,sum,0.95,45,-0.03018627539036,0.0115550719359083,-0.0528338002235099,-0.00753875055721019,0.00899134191024824,3
hashtag,sum,0.975,45,-0.0302898063859989,0.0124793228394345,-0.0547488297027386,-0.00583078306925924,0.0152158853969062,3
hashtag,sum,0.99,45,-0.030462384426646,0.0137806345241773,-0.0574719317781427,-0.00345283707514931,0.0270690125630446,3
hashtag,count,0.9,50,-0.036096933196661,0.0129824838254397,-0.0615421339243966,-0.0106517324689253,0.00542863736724766,3
hashtag,count,0.925,50,-0.0335842165478888,0.0133054601735776,-0.0596624392858329,-0.0075059938099446,0.0115997295044857,3
hashtag,count,0.95,50,-0.0327251452054797,0.0138081107050797,-0.059788544881978,-0.00566174552898152,0.0177883541278877,3
hashtag,count,0.975,50,-0.0302107401600304,0.0146407021325791,-0.0589059890482642,-0.00151549127179658,0.0390674083261724,3
hashtag,count,0.99,50,-0.0240699041247713,0.0159537406458954,-0.0553386612094189,0.00719885295987641,0.131367523286557,3
hashtag,frac,0.9,50,-0.000191904005569096,0.00012558219945538,-0.000438040593600966,5.4232582462774e-05,0.126484061281311,3
hashtag,frac,0.925,50,-0.000193132766679266,0.000132772066703837,-0.000453361235571736,6.7095702213204e-05,0.145774776810275,3
hashtag,frac,0.95,50,-0.000194417439430602,0.000149584769183043,-0.000487598199665102,9.87633208038991e-05,0.193698962698618,3
hashtag,frac,0.975,50,-0.000165211867452143,0.000162477419906925,-0.000483661758770708,0.000153238023866421,0.309234446891525,3
hashtag,frac,0.99,50,-0.000132672540370169,0.000174688388307936,-0.000475055489971071,0.000209710409230732,0.447564777949302,3
hashtag,sum,0.9,50,-0.0300678088323644,0.0107717956349602,-0.0511801403257122,-0.00895547733901665,0.00524893262681726,3
hashtag,sum,0.925,50,-0.0304545348914677,0.0110852528084233,-0.0521812311554989,-0.00872783862743646,0.00600878159178945,3
hashtag,sum,0.95,50,-0.0300324737922207,0.0115463746475564,-0.0526629522534376,-0.00740199533100394,0.00929441627795409,3
hashtag,sum,0.975,50,-0.0299061021595158,0.0124914963495918,-0.0543889851177293,-0.00542321920130224,0.0166604391467053,3
hashtag,sum,0.99,50,-0.0301800654849477,0.0137712514094861,-0.0571712222695869,-0.00318890870030858,0.0284136980406271,3
hashtag,count,0.9,55,-0.0356006520877807,0.0126710956701716,-0.0604355432459785,-0.010765760929583,0.00496038157801408,3
hashtag,count,0.925,55,-0.0347104333327875,0.0130228876917011,-0.0602348241832316,-0.00918604248234334,0.00769103472095025,3
hashtag,count,0.95,55,-0.0336180296577964,0.0135041240724732,-0.0600856264826043,-0.0071504328329885,0.0127935903026122,3
hashtag,count,0.975,55,-0.0303435768962119,0.0144003247996986,-0.0585676948693001,-0.00211945892312369,0.0351049856315691,3
hashtag,count,0.99,55,-0.025490194822713,0.0157121204901247,-0.0562853851041112,0.00530499545868521,0.104733384207208,3
hashtag,frac,0.9,55,-0.000170214809859351,0.000137914107563364,-0.000440521493643527,0.000100091873924825,0.217125096536815,3
hashtag,frac,0.925,55,-0.000169539486599848,0.000145692284586237,-0.000455091117214233,0.000116012144014537,0.244552913630077,3
hashtag,frac,0.95,55,-0.000162077016322118,0.000167405293020826,-0.000490185361464311,0.000166031328820075,0.332958777585979,3
hashtag,frac,0.975,55,-0.000123315967604044,0.000180715490909171,-0.000477511821234494,0.000230879886026407,0.495001039397703,3
hashtag,frac,0.99,55,-6.83882561468102e-05,0.000202364557534172,-0.000465015500661172,0.000328238988367551,0.735404018090984,3
hashtag,sum,0.9,55,-0.0299809629618074,0.0107574748260883,-0.0510652261855368,-0.00889669973807798,0.00532003007925915,3
hashtag,sum,0.925,55,-0.0304069093106799,0.0111076039148368,-0.0521774129382962,-0.00863640568306362,0.00619107704107179,3
hashtag,sum,0.95,55,-0.0297509650218022,0.0115584757473412,-0.0524051612027707,-0.00709676884083378,0.010054413914468,3
hashtag,sum,0.975,55,-0.0294661359756183,0.0124970386625112,-0.0539598816675448,-0.00497239028369187,0.0183811448841767,3
hashtag,sum,0.99,55,-0.029918749180113,0.013737311167165,-0.0568433843121763,-0.00299411404804981,0.0294120775633896,3
hashtag,count,0.9,60,-0.0393748921225967,0.012228778247873,-0.0633428570633547,-0.0154069271818388,0.00128255475459115,3
hashtag,count,0.925,60,-0.0388609834516653,0.0126091871668703,-0.0635745361730558,-0.0141474307302748,0.002056439498666,3
hashtag,count,0.95,60,-0.0373830080436679,0.0131658460537626,-0.0631875921350414,-0.0115784239522944,0.00451994842192837,3
hashtag,count,0.975,60,-0.0347721123601675,0.0141732473633896,-0.0625511667363883,-0.00699305798394665,0.0141527669140139,3
hashtag,count,0.99,60,-0.0342500668763036,0.015571993753505,-0.064770613800656,-0.00372951995195111,0.0278448221115094,3
hashtag,frac,0.9,60,-0.000162060381841288,0.000153371398604645,-0.000462662799364929,0.000138542035682353,0.290669883095199,3
hashtag,frac,0.925,60,-0.000163066792294257,0.000163178407347907,-0.000482890593750761,0.000156757009162246,0.31764164005758,3
